Price,Close,High,Low,Open,Volume
Ticker,TCI.VN,TCI.VN,TCI.VN,TCI.VN,TCI.VN
Date,,,,,
2024-01-26,13500.0,13900.0,13450.0,13700.0,607100
2024-01-29,12800.0,13700.0,12800.0,13550.0,1058500
2024-01-30,12450.0,12750.0,12250.0,12750.0,1101000
2024-01-31,12450.0,12900.0,12300.0,12300.0,444600
2024-02-01,12550.0,12650.0,12300.0,12300.0,194600
2024-02-02,12550.0,12550.0,12550.0,12550.0,0
2024-02-05,13200.0,13300.0,12900.0,12950.0,586800
2024-02-06,13200.0,13400.0,13150.0,13400.0,469300
2024-02-07,13000.0,13350.0,13000.0,13350.0,657800
2024-02-08,13000.0,13000.0,13000.0,13000.0,0
2024-02-09,13000.0,13000.0,13000.0,13000.0,0
2024-02-15,13200.0,13200.0,12950.0,12950.0,407600
2024-02-16,13050.0,13200.0,13000.0,13200.0,371600
2024-02-19,12800.0,13150.0,12800.0,13100.0,440100
2024-02-20,12850.0,13050.0,12800.0,12850.0,606400
2024-02-21,12800.0,12950.0,12700.0,12850.0,245000
2024-02-22,13100.0,13400.0,12700.0,12800.0,667200
2024-02-23,12750.0,13200.0,12650.0,13200.0,420200
2024-02-26,13100.0,13200.0,12700.0,12750.0,544400
2024-02-27,13200.0,13250.0,12950.0,13150.0,571200
2024-02-28,13200.0,13300.0,13100.0,13300.0,520100
2024-02-29,13100.0,13400.0,13000.0,13200.0,688600
2024-03-01,13150.0,13400.0,13150.0,13200.0,350500
2024-03-04,13050.0,13500.0,13050.0,13500.0,654100
2024-03-05,13150.0,13200.0,12800.0,13200.0,743500
2024-03-06,12800.0,13200.0,12700.0,13200.0,675500
2024-03-07,13400.0,13500.0,12850.0,12850.0,1861300
2024-03-08,13500.0,13900.0,13300.0,13500.0,1672200
2024-03-11,13200.0,13550.0,13100.0,13550.0,725200
2024-03-12,13000.0,13350.0,12950.0,13350.0,754800
2024-03-13,13700.0,13700.0,12950.0,13000.0,1208000
2024-03-14,13500.0,13900.0,13300.0,13550.0,1077700
2024-03-15,13300.0,13500.0,13200.0,13500.0,583900
2024-03-18,12850.0,13500.0,12450.0,13500.0,1533700
2024-03-19,12650.0,12950.0,12550.0,12850.0,453100
2024-03-20,12900.0,12900.0,12600.0,12650.0,948600
2024-03-21,13000.0,13150.0,12850.0,13100.0,491900
2024-03-22,13000.0,13100.0,12900.0,13000.0,686000
2024-03-25,12900.0,13150.0,12900.0,13150.0,512100
2024-03-26,12850.0,12950.0,12700.0,12800.0,391900
2024-03-27,13000.0,13050.0,12850.0,12850.0,158100
2024-03-28,13050.0,13100.0,12950.0,13100.0,345200
2024-03-29,12900.0,13100.0,12900.0,13100.0,175400
2024-04-01,12900.0,12900.0,12900.0,12900.0,0
2024-04-02,12900.0,12950.0,12750.0,12950.0,317800
2024-04-03,12800.0,13000.0,12800.0,12900.0,243200
2024-04-04,12700.0,12800.0,12650.0,12800.0,428400
2024-04-05,12700.0,12800.0,12500.0,12800.0,327700
2024-04-08,12600.0,12750.0,12550.0,12700.0,112300
2024-04-09,12700.0,12700.0,12500.0,12500.0,316400
2024-04-10,12550.0,12700.0,12550.0,12700.0,120500
2024-04-11,12550.0,12600.0,12400.0,12500.0,309400
2024-04-12,12650.0,12750.0,12550.0,12750.0,128200
2024-04-15,11850.0,12650.0,11800.0,12500.0,463400
2024-04-16,11150.0,11700.0,11100.0,11400.0,569000
2024-04-17,11000.0,11300.0,10900.0,11150.0,269200
2024-04-18,11000.0,11000.0,11000.0,11000.0,0
2024-04-19,10850.0,11050.0,10450.0,10850.0,287100
2024-04-22,11150.0,11300.0,10950.0,10950.0,288500
2024-04-23,10900.0,11450.0,10800.0,11450.0,249000
2024-04-24,11300.0,11300.0,11050.0,11050.0,124100
2024-04-25,11150.0,11350.0,11000.0,11350.0,98600
2024-04-26,11100.0,11250.0,11000.0,11150.0,118900
2024-04-29,11100.0,11100.0,11100.0,11100.0,0
2024-04-30,11100.0,11100.0,11100.0,11100.0,0
2024-05-01,9694.3232421875,9694.3232421875,9694.3232421875,9694.3232421875,0
2024-05-02,9781.6591796875,9868.99609375,9650.6552734375,9650.6552734375,85875
2024-05-03,9868.99609375,9912.6640625,9825.3271484375,9912.6640625,240335
2024-05-06,10436.681640625,10436.681640625,9868.99609375,9868.99609375,386552
2024-05-07,10829.6943359375,10917.0302734375,10480.349609375,10698.6904296875,314760
2024-05-08,10742.3583984375,10917.0302734375,10567.685546875,10917.0302734375,239076
2024-05-09,10218.3408203125,10742.3583984375,10218.3408203125,10742.3583984375,395368
2024-05-10,10550.0,10700.0,10300.0,10700.0,212000
2024-05-13,10350.0,10600.0,10200.0,10600.0,193100
2024-05-14,10300.0,10400.0,10300.0,10300.0,98900
2024-05-15,10500.0,10550.0,10350.0,10400.0,202400
2024-05-16,10600.0,10750.0,10500.0,10700.0,125500
2024-05-17,10550.0,10700.0,10450.0,10600.0,124900
2024-05-20,10550.0,10650.0,10500.0,10600.0,125000
2024-05-21,10400.0,10550.0,10350.0,10550.0,163700
2024-05-22,10550.0,10650.0,10450.0,10500.0,288200
2024-05-23,10900.0,10900.0,10350.0,10500.0,223800
2024-05-24,10900.0,11350.0,10700.0,10800.0,408400
2024-05-27,10800.0,11000.0,10700.0,11000.0,127900
2024-05-28,11300.0,11350.0,10700.0,10950.0,412900
2024-05-29,11200.0,11300.0,11000.0,11300.0,295500
2024-05-30,11100.0,11150.0,10800.0,10800.0,156400
2024-05-31,11200.0,11300.0,11000.0,11000.0,202900
2024-06-03,11200.0,11200.0,11200.0,11200.0,0
2024-06-04,11250.0,11400.0,11200.0,11300.0,292300
